,symbol,symbol_anonym,sector
930,CADE,930,Financial Services
931,IAC,931,Communication Services
932,ESNT,932,Financial Services
933,ASO,933,Consumer Cyclical
934,BSLI3.SA,934,Financial Services
935,CBT,935,Basic Materials
936,SRU-UN.TO,936,Real Estate
937,SYNA,937,Technology
938,LNR.TO,938,Consumer Cyclical
939,HP,939,Energy
940,AF.PA,940,Industrials
941,BE,941,Industrials
