,symbol,symbol_anonym,sector
213,CMG,213,Consumer Cyclical
214,BK,214,Financial Services
215,TEL,215,Technology
216,STZ,216,Consumer Defensive
217,DOW,217,Basic Materials
218,IQV,218,Healthcare
219,STM.PA,219,Technology
220,IMO.TO,220,Energy
221,IDXX,221,Healthcare
222,LULU,222,Consumer Cyclical
223,ET,223,Energy
224,LNG,224,Energy
225,CARR,225,Industrials
226,HLT,226,Consumer Cyclical
227,ODFL,227,Industrials
228,SYY,228,Consumer Defensive
229,WMB,229,Energy
230,MRVL,230,Technology
231,WBD,231,Communication Services
232,MFC,232,Financial Services
233,PCG,233,Utilities
234,DVN,234,Energy
235,CVE,235,Energy
236,WELL,236,Real Estate
237,SE,237,Consumer Cyclical
238,MS-PL,238,Financial Services
239,CMI,239,Industrials
240,AMP,240,Financial Services
241,PRU,241,Financial Services
242,APTV-PA,242,Consumer Cyclical
243,HAL,243,Energy
244,GWW,244,Industrials
245,ILMN,245,Healthcare
246,MPLX,246,Energy
247,NWG,247,Financial Services
248,ROK,248,Industrials
249,ACA.PA,249,Financial Services
250,NA.TO,250,Financial Services
251,VICI,251,Real Estate
252,DD,252,Basic Materials
253,ON,253,Technology
254,CPRT,254,Consumer Cyclical
255,HBANM,255,Financial Services
256,ENGI.PA,256,Utilities
257,MTD,257,Healthcare
258,BCS,258,Financial Services
259,URI,259,Industrials
260,AME,260,Industrials
261,BKR,261,Energy
262,CLVT-PA,262,Technology
263,PPG,263,Basic Materials
264,APTV,264,Consumer Cyclical
265,DHI,265,Consumer Cyclical
266,CTSH,266,Technology
267,LYB,267,Basic Materials
268,MS-PO,268,Financial Services
269,STT,269,Financial Services
270,TFC-PO,270,Financial Services
271,CAP.PA,271,Technology
272,TECK-A.TO,272,Basic Materials
273,DFS,273,Financial Services
274,FAST,274,Industrials
275,ALB,275,Basic Materials
276,OKE,276,Energy
277,IMO,277,Energy
278,FERG,278,Industrials
279,GLW,279,Technology
280,KBC.BR,280,Financial Services
281,GEN.BR,281,Financial Services
282,ENPH,282,Technology
283,SGO.PA,283,Industrials
284,CRWD,284,Technology
285,PRIO3.SA,285,Energy
286,TECK-B.TO,286,Basic Materials
287,TFC-PI,287,
288,KEYS,288,Technology
289,HBANP,289,Financial Services
290,TTD,290,Technology
291,HPQ,291,Technology
292,PPL-PA.TO,292,Energy
293,LEN,293,Consumer Cyclical
294,USB-PR,294,Financial Services
295,LEN-B,295,Consumer Cyclical
296,AMS.MC,296,Consumer Cyclical
297,PPL-PC.TO,297,Energy
298,TFC-PR,298,Financial Services
299,CSAN3.SA,299,Energy
300,CMIN3.SA,300,Basic Materials
301,CDW,301,Technology
302,CBRE,302,Real Estate
303,ANSS,303,Technology
304,FANG,304,Energy
305,PPL-PQ.TO,305,Energy
306,HWM-P,306,
