symbol_anonymised,sector
411,Communication Services
412,Basic Materials
413,Communication Services
414,Financial Services
415,Financial Services
416,Energy
417,Consumer Cyclical
418,Healthcare
419,Consumer Cyclical
420,Technology
421,Communication Services
422,Industrials
423,Technology
424,Consumer Cyclical
425,Consumer Cyclical
426,Technology
427,Technology
428,Technology
429,Financial Services
430,Basic Materials
431,Technology
432,Industrials
433,Financial Services
434,Technology
435,Consumer Cyclical
436,Energy
437,Financial Services
438,Industrials
439,Financial Services
440,Financial Services
441,Consumer Cyclical
442,Basic Materials
443,Technology
444,Communication Services
445,Communication Services
446,Financial Services
447,Technology
448,Industrials
449,Industrials
450,Consumer Cyclical
451,Real Estate
452,Financial Services
453,Technology
454,Consumer Cyclical
455,Energy
456,Financial Services
457,Communication Services
458,Financial Services
459,Financial Services
460,Technology
461,Financial Services
462,Communication Services
463,Industrials
464,Industrials
465,Basic Materials
466,Healthcare
467,Financial Services
468,Healthcare
469,Industrials
470,Technology
471,Communication Services
472,Technology
473,Industrials
474,Consumer Cyclical
475,Consumer Cyclical
476,Consumer Cyclical
477,Industrials
478,Consumer Cyclical
479,Real Estate
480,Technology
481,Basic Materials
482,Real Estate
483,Technology
484,Technology
485,Financial Services
486,Basic Materials
487,Energy
488,Financial Services
489,Real Estate
490,Communication Services
491,Real Estate
492,Communication Services
493,Industrials
494,Technology
495,Real Estate
496,Industrials
497,Consumer Cyclical
498,Energy
499,Real Estate
500,Technology
501,Technology
502,Healthcare
503,Technology
504,Consumer Cyclical
505,Real Estate
506,Technology
507,Healthcare
508,Industrials
509,Consumer Cyclical
510,Healthcare
511,Real Estate
512,Technology
513,Basic Materials
514,Consumer Cyclical
515,Financial Services
516,Communication Services
517,Technology
518,Consumer Cyclical
519,Technology
520,Energy
521,Technology
522,Healthcare
523,Basic Materials
524,Consumer Cyclical
525,Healthcare
526,Real Estate
527,Consumer Cyclical
528,Real Estate
529,Industrials
530,Real Estate
531,Industrials
532,Real Estate
533,Industrials
534,Real Estate
535,Industrials
536,Industrials
537,Industrials
538,Technology
539,Financial Services
540,Industrials
541,Consumer Cyclical
542,Consumer Cyclical
543,Financial Services
544,Healthcare
545,Energy
546,Basic Materials
547,Financial Services
548,Financial Services
549,Technology
550,Consumer Cyclical
551,Real Estate
552,Industrials
553,Communication Services
554,Technology
555,Consumer Defensive
556,Communication Services
557,Consumer Cyclical
558,Consumer Cyclical
559,Financial Services
560,Consumer Cyclical
561,Technology
562,Financial Services
563,Real Estate
564,Communication Services
565,Industrials
566,Communication Services
567,Basic Materials
568,Real Estate
569,Industrials
570,Industrials
571,Consumer Cyclical
572,Industrials
573,Communication Services
574,Communication Services
575,Basic Materials
576,Consumer Defensive
577,Energy
578,Industrials
579,Basic Materials
580,Communication Services
581,Consumer Cyclical
582,Basic Materials
583,Consumer Cyclical
584,Technology
585,Real Estate
586,Communication Services
587,Technology
588,Industrials
589,Consumer Defensive
590,Communication Services
591,Energy
592,Real Estate
593,Basic Materials
594,Real Estate
595,Industrials
596,Communication Services
597,Consumer Cyclical
598,Industrials
599,Technology
600,Communication Services
601,Industrials
602,Financial Services
603,Consumer Cyclical
604,Technology
605,Industrials
606,Real Estate
607,Financial Services
608,Basic Materials
609,Financial Services
610,Energy
611,Technology
612,Healthcare
613,Financial Services
614,Consumer Cyclical
615,Consumer Defensive
616,Basic Materials
617,Financial Services
618,Financial Services
619,Basic Materials
620,Industrials
621,Real Estate
622,Energy
